Source	Target	Size [MiB]
9	8	1077
17	4	241
6	13	1364
19	3	1117
12	8	1668
5	18	219
4	19	1139
3	2	884
18	2	134
12	5	1707
2	1	580
10	11	158
8	15	1612
7	16	611
6	10	223
8	18	21814
18	14	2227
15	16	2419
7	11	629
17	10	1246
18	5	1167
5	20	9475
3	6	905
2	13	228
8	19	697
16	3	32
16	2	1177
2	18	363
14	17	1620
5	4	1253
6	11	629
13	4	91
15	19	8
2	11	492
20	17	352
13	19	1209
15	13	1434
3	12	2143
6	12	868
12	15	978
12	9	1183
2	5	1679
2	10	1220
19	11	1172
20	6	381
16	3	1507
5	8	1576
13	14	1357
15	19	1309
3	1	1447
9	8	1649
16	18	28
16	3	484
15	17	1719
15	16	479
12	17	1521
12	17	1125
19	4	1510
2	16	142
18	5	223
1	7	1031
8	11	2062
3	6	1515
16	19	1242
7	14	362
10	6	234
16	18	855
8	19	1706
16	12	43
18	16	878
11	19	2668
10	2	959
6	10	659
11	9	405
9	10	136
2	6	806
1	12	477
9	15	1391
14	19	373
16	8	1568
15	18	912
15	9	329
17	19	1504
5	10	2337
17	6	1097
15	5	1698
9	3	846
7	10	1073
20	8	1683
7	3	570
2	13	1380
15	16	14
17	10	2013
15	17	929
10	9	1919
19	3	1261
2	17	514
3	14	1498
6	4	1177
14	11	200
9	7	317
4	15	347
11	13	1842
5	3	81
5	18	47
3	15	1642
18	4	276
2	9	1162
7	13	1395
8	18	26754
9	14	428
7	19	1848
20	14	71
16	13	184
16	10	1879
8	4	1394
7	11	449
3	12	2016
10	15	211
8	20	55125
14	5	935
12	19	952
10	6	668
6	16	627
15	20	65775
4	17	236512
18	14	1052
3	12	590
2	10	1666
7	16	1462
10	8	265
6	13	1956
18	19	300
12	4	1103
20	7	957
2	16	889
2	16	945
18	6	1837
6	15	767
12	9	231
3	2	339
6	5	1685
19	14	47
2	4	134
16	8	2408
11	16	2490
9	2	727
13	2	843
6	10	1459
9	8	938
9	8	886
11	17	2310
5	14	906
19	18	1380
5	17	1074
9	15	465
3	15	58
14	3	192
7	10	1645
14	17	1668
3	18	635
15	9	681
1	20	45500
4	6	573
15	9	1051
2	7	960
17	2	2387
17	12	746
14	6	937
18	8	1567
5	2	39
12	20	26775
6	2	650
9	13	240
10	1	1528
1	16	2302
13	6	1221
8	18	838305
7	16	2039
17	14	1076
3	19	2332
17	3	451
8	17	232
18	8	147
6	12	121
18	10	1994
15	8	637
10	5	1173
12	16	798
6	4	623
5	6	1585
10	6	666
4	15	1572
11	17	838
14	6	1060
7	12	1450
8	17	2361
5	9	1271
8	10	256
3	12	2904
19	17	1299
8	11	2404
14	13	1276
20	6	856
11	4	1735
2	11	453
8	7	6
6	12	500
12	4	550
2	12	1288
16	3	625
4	11	156446
13	19	1119
18	9	1467
14	18	574
18	6	559
9	6	1277
6	16	896
